Gene,Dilution,Ct1,Ct2,Ct3
GOI,1,21.086,21.142,21.127
GOI,0.2,23.292,23.294,23.285
GOI,0.04,26.025,25.976,25.657
GOI,0.008,28.454,28.74,28.133
